Country Name,Country Code,Series Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,"Population ages 20-24, female (% of female population)",8.394449072,8.422210882,8.444334394,8.457602224,8.472634983,8.502499357,8.48335396,8.460043053,8.436799463,8.414664114,8.394632858,8.468776208,8.584680864,8.729826086,8.881144181,9.016828612,8.963551979,8.865379512,8.737963354,8.613112435,8.521076129,8.578810558,8.69238992,8.858787512,9.06760598,9.304165631
Afghanistan,AFG,"Population ages 20-24, male (% of male population)",8.615247594,8.638405198,8.657093497,8.668506455,8.685018673,8.722327198,8.716136879,8.711759973,8.714020782,8.718831787,8.72051223,8.823207479,8.932985761,9.038776634,9.130531824,9.201775541,9.084696272,8.954554844,8.825059337,8.715391118,8.643288703,8.743663957,8.879269407,9.04721674,9.242433528,9.455216331
Afghanistan,AFG,"Population ages 15-19, male (% of male population)",10.64277778,10.68274689,10.72461958,10.75218218,10.76662103,10.78346391,10.74914854,10.71501428,10.69566192,10.69375653,10.70202573,10.7658822,10.80889843,10.81804143,10.79273539,10.74462565,10.5992133,10.49326086,10.45115202,10.49386511,10.62362186,10.86287711,11.1266991,11.38309693,11.59798891,11.75671158
Afghanistan,AFG,"Population ages 15-19, female (% of female population)",10.3514322,10.39962118,10.44442318,10.4719347,10.48479507,10.49837579,10.45178832,10.40953632,10.38351371,10.37507579,10.37953083,10.49009443,10.58936579,10.66011903,10.69907496,10.71393838,10.5725326,10.45943708,10.40263518,10.42663099,10.53753505,10.78444213,11.07395846,11.3679072,11.62200262,11.814034
Albania,ALB,"Population ages 20-24, female (% of female population)",9.291829474,9.021133045,8.818266992,8.681465285,8.585968327,8.512785533,8.419517936,8.298409256,8.170936496,8.068474818,8.018765298,7.937270243,7.923500276,7.997809316,8.160729376,8.403011124,8.477117352,8.488538514,8.430133845,8.305830394,8.151973006,8.386377105,8.608781966,8.801688927,8.940237299,9.008335737
Albania,ALB,"Population ages 20-24, male (% of male population)",9.289448412,8.90311655,8.593500779,8.375891072,8.242356567,8.187198748,8.122134298,7.980061921,7.767396377,7.515688404,7.272704223,7.213641656,7.197581577,7.250868461,7.392192655,7.632201451,7.969788098,8.329581775,8.672543532,8.947853199,9.138620921,9.40771255,9.600350683,9.718768148,9.775820757,9.781601036
Albania,ALB,"Population ages 15-19, male (% of male population)",9.776525343,9.573306193,9.471648183,9.482895183,9.598684757,9.795970681,9.538238354,9.288857353,9.094688058,8.993791024,9.000554631,9.168981954,9.436357776,9.779358172,10.13883011,10.46287616,10.51122968,10.49437398,10.44676922,10.39010786,10.32254801,10.21423749,10.03579538,9.799141939,9.519025528,9.201570134
Albania,ALB,"Population ages 15-19, female (% of female population)",9.714239309,9.526339864,9.386264295,9.299036866,9.266421668,9.283759095,9.207020908,9.173049122,9.199608922,9.298833262,9.46851082,9.593268937,9.793633141,10.04309511,10.29242095,10.5015627,10.23455324,9.964550314,9.750387791,9.61261309,9.531353796,9.498379057,9.386367781,9.197046317,8.937001151,8.611653591
Algeria,DZA,"Population ages 20-24, female (% of female population)",9.335980488,9.395087933,9.472990486,9.571255151,9.69270029,9.837649774,9.951680808,10.09744711,10.26773663,10.44649537,10.6198833,10.787521,10.93595609,11.06042943,11.15062467,11.19361027,11.16636546,11.08293929,10.95013716,10.78048564,10.58090642,10.30823731,10.02685591,9.72149947,9.371859434,8.9738324
Algeria,DZA,"Population ages 20-24, male (% of male population)",9.502652349,9.519502239,9.553865302,9.612277052,9.701819967,9.825690292,9.953094711,10.11212332,10.29165901,10.47354237,10.64559281,10.830534,11.00015953,11.14844258,11.26448858,11.33478325,11.30854145,11.22418922,11.08884893,10.91563641,10.71265262,10.42825062,10.13982216,9.833803842,9.489331626,9.100636529
